Team,Next Opponent,Home or Away,Rushing Yards Average,Rushing Yards Average Ranking,Next Opponent Rushing Yards Allowed Average,Next Opponent Rushing Yards Allowed Average Ranking,Average Rush Yards at This Week's Location,Average Rush Yards at This Week's Location Ranking,Next Opponent Average Rushing Yards Allowed at Location ,Next Opponent Average Rushing Yards Allowed at Location Ranking,Expected Rush Yards,Expected Rush Yards Ranking,Expected Rush Yards at This Week's Location,Expected Rush Yards at This Week's Location Ranking
Atlanta Falcons,New Orleans Saints,Away,130,8,123,21,116,14,128,26,126,5,122,9
Arizona Cardinals,Seattle Seahawks,Home,135,6,134,30,153,3,139,29,135,3,146,1
Baltimore Ravens,Pittsburgh Steelers,Home,160,1,116,18,163,1,103,13,138,2,133,4
Buffalo Bills,Miami Dolphins,Away,130,7,95,7,116,15,72,1,113,15,94,29
Carolina Panthers,Tampa Bay Buccaneers,Home,102,20,93,6,100,22,88,6,98,28,94,28
Chicago Bears,Green Bay Packers,Away,145,2,132,28,122,12,116,22,138,1,119,11
Cincinnati Bengals,Cleveland Browns,Home,84,32,101,10,64,32,115,19,92,30,90,31
Cleveland Browns,Cincinnati Bengals,Away,120,11,128,26,133,8,117,23,124,8,125,6
Dallas Cowboys,Washington Commanders,Away,112,14,127,25,103,19,128,27,119,10,116,14
Denver Broncos,Las Vegas Raiders,Away,110,17,123,22,101,21,103,12,117,12,102,25
Detroit Lions,Minnesota Vikings,Home,140,4,101,9,148,4,109,15,120,9,129,5
Green Bay Packers,Chicago Bears,Home,111,15,84,1,96,28,83,5,98,29,89,32
Houston Texans,Indianapolis Colts,Away,99,22,128,27,107,17,119,25,114,13,113,17
Indianapolis Colts,Houston Texans,Home,115,13,89,3,148,5,82,4,102,26,115,15
Jacksonville Jaguars,Tennessee Titans,Away,98,23,109,14,99,23,96,9,104,25,98,27
Kansas City Chiefs,Los Angeles Chargers,Away,104,19,113,16,99,24,115,21,108,18,107,19
Las Vegas Raiders,Denver Broncos,Home,88,30,138,31,103,20,166,32,113,14,134,2
Los Angeles Chargers,Kansas City Chiefs,Home,95,26,113,17,107,18,101,11,104,24,104,23
Los Angeles Rams,San Francisco 49ers,Away,121,10,89,3,119,13,80,3,105,23,99,26
Miami Dolphins,Buffalo Bills,Home,138,5,111,15,155,2,113,18,124,6,134,3
Minnesota Vikings,Detroit Lions,Away,92,27,89,5,108,16,97,10,90,31,103,24
New England Patriots,New York Jets,Home,96,25,126,24,97,27,137,28,111,17,117,12
New Orleans Saints,Atlanta Falcons,Home,99,21,116,19,91,30,118,24,108,19,105,21
New York Giants,Philadelphia Eagles,Home,110,16,103,11,129,10,94,8,107,20,111,18
New York Jets,New England Patriots,Away,91,28,87,2,94,29,91,7,89,32,92,30
Philadelphia Eagles,New York Giants,Away,129,9,132,29,124,11,107,14,130,4,116,13
Pittsburgh Steelers,Baltimore Ravens,Away,116,12,107,13,129,9,115,20,111,16,122,8
San Francisco 49ers,Los Angeles Rams,Home,142,3,106,12,137,6,111,16,124,7,124,7
Seattle Seahawks,Arizona Cardinals,Away,90,29,144,32,73,31,156,31,117,11,115,16
Tampa Bay Buccaneers,Carolina Panthers,Away,87,31,123,23,98,25,111,17,105,22,105,20
Tennessee Titans,Jacksonville Jaguars,Home,104,18,99,8,135,7,74,2,102,26,104,22
Washington Commanders,Dallas Cowboys,Home,96,24,116,20,98,26,141,30,106,21,119,10
