Player,Team
Jared Goff,Detroit
Patrick Mahomes,Kansas City
Baker Mayfield,Tampa Bay
Kirk Cousins,Minnesota
Ryan Tannehill,Tennessee
Derek Carr,New Orleans
Bryce Young,Carolina
Desmond Ridder,Atlanta
C.J. Stroud,Houston
Lamar Jackson,Baltimore
Brock Purdy,San Francisco
Kenny Pickett,Pittsburgh
Joshua Dobbs,Arizona
Sam Howell,Washington
Joe Burrow,Cincinnati
Jake Browning,Cincinnati
Deshaun Watson,Cleveland
Trevor Lawrence,Jacksonville
Anthony Richardson,Indianapolis
Gardner Minshew,Indianapolis
Tua Tagovailoa,Miami
Justin Herbert,LA Chargers
Matthew Stafford,LA Rams
Geno Smith,Seattle
Jimmy Garoppolo,Las Vegas
Russell Wilson,Denver
Jordan Love,Green Bay
Justin Fields,Chicago
Jalen Hurts,Philadelphia
Mac Jones,New England
Dak Prescott,Dallas
Cooper Rush,Dallas
Daniel Jones,NY Giants
Tyrod Taylor,NY Giants
Josh Allen,Buffalo
Zach Wilson,NY Jets
Aaron Rodgers,NY Jets
Christian Kirk,Jacksonville
Taysom Hill,New Orleans
Jameis Winston,New Orleans
Keenan Allen,LA Chargers
Mike White,Miami
C.J. Beathard,Jacksonville
Andy Dalton,Carolina
Blaine Gabbert,Kansas City
Derrick Henry,Tennessee
Chris Godwin,Tampa Bay
Mitchell Trubisky,Pittsburgh
Devin Singletary,Houston
Dorian Thompson-Robinson,Cleveland
Aidan O'Connell,Las Vegas
Bailey Zappe,New England
Bryan Anger,Dallas
Drew Lock,Seattle
Parris Campbell,NY Giants
Drake London,Atlanta
Sam Darnold,San Francisco
Josh Jacobs,Las Vegas
Kadarius Toney,Kansas City
Malik Willis,Tennessee
Tyson Bagent,Chicago
Phillip Walker,Cleveland
Johnny Hekker,Carolina
Malik Cunningham,New England
Brian Hoyer,Las Vegas
Logan Cooke,Jacksonville
Nathan Peterman,Chicago
Tyler Huntley,Baltimore
Clayton Tune,Arizona
Dontayvion Wicks,Green Bay
Cedrick Wilson,Miami
Brett Rypien,LA Rams
Chatarius Atwell,LA Rams
Jaren Hall,Minnesota
Taylor Heinicke,Atlanta
Jonnu Smith,Atlanta
Will Levis,Tennessee
Tommy DeVito,NY Giants
Amon-Ra St. Brown,Detroit
Cam Akers,Minnesota
Daniel Bellinger,NY Giants
Kyler Murray,Arizona
Garrett Wilson,NY Jets
Davis Mills,Houston
Nathaniel Dell,Houston
Tim Boyle,NY Jets
Thomas Morstead,NY Jets
Romeo Doubs,Green Bay
Deebo Samuel,San Francisco
Kyle Trask,Tampa Bay
Jakobi Meyers,Las Vegas
DeeJay Dallas,Seattle
Trevor Siemian,NY Jets
Joe Flacco,Cleveland
Marcus Mariota,Philadelphia
Tyler Boyd,Cincinnati
Ja'Marr Chase,Cincinnati
Connor Heyward,Pittsburgh
A.J. McCarron,Cincinnati
Nick Mullens,Minnesota
Easton Stick,LA Chargers
Braden Mann,Philadelphia
Justin Jefferson,Minnesota
Tanner Hudson,Cincinnati
Mason Rudolph,Pittsburgh
Case Keenum,Houston
Jerick McKinnon,Kansas City
Jacoby Brissett,Washington
Tommy Townsend,Kansas City
Jalen Reeves-Maybin,Detroit
Kenny Gainwell,Philadelphia
Jarrett Stidham,Denver
Sean Clifford,Green Bay
David Montgomery,Detroit
Jahmyr Gibbs,Detroit
Isiah Pacheco,Kansas City
Clyde Edwards-Helaire,Kansas City
Skyy Moore,Kansas City
Rashee Rice,Kansas City
Rachaad White,Tampa Bay
Sean Tucker,Tampa Bay
Chase Edmonds,Tampa Bay
Rakim Jarrett,Tampa Bay
Alexander Mattison,Minnesota
Ty Chandler,Minnesota
Tyjae Spears,Tennessee
Treylon Burks,Tennessee
Jamaal Williams,New Orleans
Rashid Shaheed,New Orleans
Tony Jones,New Orleans
Miles Sanders,Carolina
Chuba Hubbard,Carolina
Laviska Shenault,Carolina
Tyler Allgeier,Atlanta
Bijan Robinson,Atlanta
Dameon Pierce,Houston
Noah Brown,Houston
Gus Edwards,Baltimore
J.K. Dobbins,Baltimore
Zay Flowers,Baltimore
Justice Hill,Baltimore
Christian McCaffrey,San Francisco
Elijah Mitchell,San Francisco
Najee Harris,Pittsburgh
Jaylen Warren,Pittsburgh
James Conner,Arizona
Marquise Brown,Arizona
Rondale Moore,Arizona
Keaontay Ingram,Arizona
Brian Robinson,Washington
Antonio Gibson,Washington
Christopher Rodriguez,Washington
Curtis Samuel,Washington
Joe Mixon,Cincinnati
Chris Evans,Cincinnati
Trayveon Williams,Cincinnati
Nick Chubb,Cleveland
Jerome Ford,Cleveland
Elijah Moore,Cleveland
Travis Etienne,Jacksonville
Cartavious Bigsby,Jacksonville
Jamal Agnew,Jacksonville
D'Ernest Johnson,Jacksonville
Deon Jackson,Indianapolis
Jake Funk,Indianapolis
Evan Hull,Indianapolis
Raheem Mostert,Miami
Erik Ezukanma,Miami
Salvon Ahmed,Miami
Austin Ekeler,LA Chargers
Joshua Kelley,LA Chargers
Gerald Everett,LA Chargers
Kyren Williams,LA Rams
Kenneth Walker,Seattle
Zach Charbonnet,Seattle
Zamir White,Las Vegas
Javonte Williams,Denver
Samaje Perine,Denver
Aaron Jones,Green Bay
Patrick Taylor,Green Bay
AJ Dillon,Green Bay
Jayden Reed,Green Bay
Khalil Herbert,Chicago
Roschon Johnson,Chicago
D'Onta Foreman,Chicago
Cole Kmet,Chicago
Boston Scott,Philadelphia
D'Andre Swift,Philadelphia
Ezekiel Elliott,New England
Rhamondre Stevenson,New England
Ty Montgomery,New England
Tony Pollard,Dallas
Rico Dowdle,Dallas
KaVontae Turpin,Dallas
Deuce Vaughn,Dallas
Saquon Barkley,NY Giants
Matt Breida,NY Giants
Gary Brightwell,NY Giants
James Cook,Buffalo
Latavius Murray,Buffalo
Deonte Harty,Buffalo
Damien Harris,Buffalo
Breece Hall,NY Jets
Dalvin Cook,NY Jets
Michael Carter,NY Jets
Rashaad Penny,Philadelphia
Zack Moss,Indianapolis
Dare Ogunbowale,Houston
Andrew Beck,Houston
Derius Davis,LA Chargers
Elijah Dotson,LA Chargers
Isaiah Spiller,LA Chargers
Mike Williams,LA Chargers
Kalif Raymond,Detroit
Craig Reynolds,Detroit
Emanuel Wilson,Green Bay
Tre Tucker,Las Vegas
Kyle Allen,Buffalo
Devin Duvernay,Baltimore
Chase Brown,Cincinnati
Velus Jones,Chicago
Deven Thompkins,Tampa Bay
Emari Demercado,Arizona
Bennett Skowronek,LA Rams
Puka Nacua,LA Rams
Marvin Mims,Denver
Jaleel McLaughlin,Denver
Michael Burton,Denver
Ashtyn Davis,NY Jets
Peyton Hendershot,Dallas
De'Von Achane,Miami
Jaylen Waddle,Miami
Pierre Strong,Cleveland
Calvin Austin,Pittsburgh
Jordan Mason,San Francisco
Kyle Juszczyk,San Francisco
Kendre Miller,New Orleans
Keisean Nixon,Green Bay
Demario Douglas,New England
Nick Bawden,NY Jets
Christopher Brooks,Miami
Alec Ingold,Miami
Trey Sermon,Indianapolis
Melvin Gordon,Baltimore
Kenyan Drake,Baltimore
Kyle Pitts,Atlanta
Zonovan Knight,Detroit
Jason Cabinda,Detroit
Gabriel Davis,Buffalo
Kareem Hunt,Cleveland
Harrison Bryant,Cleveland
Marquise Goodwin,Cleveland
CeeDee Lamb,Dallas
Hunter Luepke,Dallas
Van Jefferson,LA Rams
Tyler Scott,Chicago
Ke'Shawn Vaughn,Tampa Bay
Alvin Kamara,New Orleans
Adam Prentice,New Orleans
Mike Boone,Houston
Logan Thomas,Washington
Adam Thielen,Carolina
Tyreek Hill,Miami
Braxton Berrios,Miami
Ronnie Rivers,LA Rams
Ezekiel Turner,Arizona
Xavier Gipson,NY Jets
Wan'Dale Robinson,NY Giants
Khari Blasingame,Chicago
Calvin Ridley,Jacksonville
George Pickens,Pittsburgh
Khadarel Hodge,Atlanta
Teddy Bridgewater,Detroit
