Team Final,Player,COUNTUNIQUE of Game ID,SUM of Cmp,AVERAGE of Cmp,SUM of Att,AVERAGE of Att,AVERAGE of Completion %,SUM of Yds,AVERAGE of Yds,AVERAGE of TD,SUM of TD,SUM of Int,AVERAGE of Int,SUM of Sack,SUM of Loss
Arizona Cardinals,Joshua Dobbs,8,167,20.9,266,33.3,64%,1569,196.1,1.0,8,5,0.6,17,126
Arizona Cardinals,Kyler Murray,7,154,22.0,238,34.0,65%,1537,219.6,1.3,9,5,0.7,17,117
Arizona Cardinals,Clayton Tune,2,12,6.0,21,10.5,78%,62,31.0,0.0,0,2,1.0,7,41
Atlanta Falcons,Desmond Ridder,14,227,16.2,358,25.6,65%,2545,181.8,0.7,10,11,0.8,31,197
Atlanta Falcons,Taylor Heinicke,5,74,14.8,136,27.2,54%,890,178.0,1.0,5,4,0.8,8,47
Atlanta Falcons,Jonnu Smith,1,0,0.0,1,1.0,0%,0,0.0,0.0,0,0,0.0,0,0
Atlanta Falcons,Drake London,1,1,1.0,1,1.0,100%,22,22.0,0.0,0,0,0.0,0,0
Baltimore Ravens,Lamar Jackson,16,307,19.2,457,28.6,68%,3678,229.9,1.5,24,7,0.4,37,218
Baltimore Ravens,Tyler Huntley,3,6,2.0,9,3.0,57%,57,19.0,0.7,2,0,0.0,0,0
Buffalo Bills,Josh Allen,16,355,22.2,541,33.8,65%,3947,246.7,1.7,27,16,1.0,21,138
Carolina Panthers,Bryce Young,15,304,20.3,508,33.9,60%,2783,185.5,0.7,11,10,0.7,59,451
Carolina Panthers,Johnny Hekker,1,1,1.0,1,1.0,100%,7,7.0,0.0,0,0,0.0,0,0
Carolina Panthers,Andy Dalton,1,34,34.0,58,58.0,59%,361,361.0,2.0,2,0,0.0,3,27
Chicago Bears,Justin Fields,12,216,18.0,354,29.5,61%,2414,201.2,1.3,16,9,0.8,39,254
Chicago Bears,Tyson Bagent,5,94,18.8,143,28.6,66%,859,171.8,0.6,3,6,1.2,5,35
Chicago Bears,Nathan Peterman,1,0,0.0,0,0.0,0%,0,0.0,0.0,0,0,0.0,1,5
Cincinnati Bengals,Joe Burrow,10,244,24.4,365,36.5,67%,2309,230.9,1.5,15,6,0.6,24,180
Cincinnati Bengals,Jake Browning,8,153,19.1,219,27.4,61%,1780,222.5,1.1,9,6,0.8,22,147
Cincinnati Bengals,Tyler Boyd,1,0,0.0,1,1.0,0%,0,0.0,0.0,0,1,1.0,0,0
Cincinnati Bengals,Tanner Hudson,1,0,0.0,0,0.0,0%,0,0.0,0.0,0,0,0.0,1,4
Cincinnati Bengals,Ja'Marr Chase,1,1,1.0,1,1.0,100%,-7,-7.0,0.0,0,0,0.0,0,0
Cincinnati Bengals,A.J. McCarron,1,1,1.0,1,1.0,100%,-1,-1.0,0.0,0,0,0.0,0,0
Cleveland Browns,Dorian Thompson-Robinson,6,60,10.0,112,18.7,68%,440,73.3,0.2,1,4,0.7,6,60
Cleveland Browns,Deshaun Watson,6,105,17.5,171,28.5,56%,1115,185.8,1.2,7,4,0.7,17,85
Cleveland Browns,Phillip Walker,5,54,10.8,111,22.2,39%,674,134.8,0.2,1,5,1.0,11,90
Cleveland Browns,Joe Flacco,5,123,24.6,204,40.8,61%,1616,323.2,2.6,13,8,1.6,8,57
Dallas Cowboys,Dak Prescott,16,379,23.7,554,34.6,68%,4237,264.8,2.0,32,8,0.5,39,255
Dallas Cowboys,Cooper Rush,6,15,2.5,20,3.3,69%,114,19.0,0.0,0,1,0.2,1,8
Dallas Cowboys,Bryan Anger,1,0,0.0,0,0.0,0%,0,0.0,0.0,0,0,0.0,0,0
Denver Broncos,Russell Wilson,15,297,19.8,447,29.8,66%,3070,204.7,1.7,26,8,0.5,45,258
Denver Broncos,Jarrett Stidham,1,20,20.0,32,32.0,63%,224,224.0,1.0,1,0,0.0,2,12
Detroit Lions,Jared Goff,16,384,24.0,573,35.8,67%,4255,265.9,1.8,28,12,0.8,29,188
Detroit Lions,Jalen Reeves-Maybin,1,1,1.0,1,1.0,100%,31,31.0,0.0,0,0,0.0,0,0
Detroit Lions,Amon-Ra St. Brown,1,0,0.0,0,0.0,0%,0,0.0,0.0,0,0,0.0,1,8
Green Bay Packers,Jordan Love,16,345,21.6,547,34.2,63%,3843,240.2,1.9,30,11,0.7,29,234
Green Bay Packers,Sean Clifford,1,1,1.0,1,1.0,100%,37,37.0,0.0,0,0,0.0,0,0
Green Bay Packers,Romeo Doubs,1,0,0.0,0,0.0,0%,0,0.0,0.0,0,0,0.0,0,0
